dataset,condition,block,prop_2d,prop_neither,prop_1d,N
1,other_1d,1,0.0,0.0,1.0,8
1,other_1d,2,0.0,0.0,1.0,8
1,other_1d,3,0.0,0.0,1.0,8
1,other_1d,4,0.0,0.0,1.0,8
1,other_1d,5,0.0,0.0,1.0,8
1,asocial,0,0.0,0.03508771929824561,0.9649122807017544,57
1,asocial,1,0.0,0.05263157894736842,0.9473684210526315,57
1,asocial,2,0.017543859649122806,0.03508771929824561,0.9473684210526315,57
1,asocial,3,0.017543859649122806,0.03508771929824561,0.9473684210526315,57
1,asocial,4,0.017543859649122806,0.03508771929824561,0.9473684210526315,57
1,asocial,5,0.03508771929824561,0.017543859649122806,0.9473684210526315,57
2,first,0,0.005434782608695652,0.9293478260869565,0.06521739130434782,184
2,first,1,0.04891304347826087,0.6739130434782609,0.27717391304347827,184
2,first,2,0.10326086956521739,0.4891304347826087,0.4076086956521739,184
2,first,3,0.13043478260869565,0.44565217391304346,0.42391304347826086,184
2,first,4,0.11956521739130435,0.41304347826086957,0.4673913043478261,184
2,first,5,0.11956521739130435,0.3967391304347826,0.483695652173913,184
2,2d,0,0.037037037037037035,0.07407407407407407,0.8888888888888888,27
2,2d,1,0.1111111111111111,0.18518518518518517,0.7037037037037037,27
2,2d,2,0.2222222222222222,0.18518518518518517,0.5925925925925926,27
2,2d,3,0.2962962962962963,0.07407407407407407,0.6296296296296297,27
2,2d,4,0.3333333333333333,0.1111111111111111,0.5555555555555556,27
2,2d,5,0.2962962962962963,0.07407407407407407,0.6296296296296297,27
2,other_1d,0,0.0,0.16666666666666666,0.8333333333333334,24
2,other_1d,1,0.041666666666666664,0.08333333333333333,0.875,24
2,other_1d,2,0.08333333333333333,0.08333333333333333,0.8333333333333334,24
2,other_1d,3,0.08333333333333333,0.08333333333333333,0.8333333333333334,24
2,other_1d,4,0.08333333333333333,0.08333333333333333,0.8333333333333334,24
2,other_1d,5,0.08333333333333333,0.08333333333333333,0.8333333333333334,24
2,asocial,0,0.0,0.05263157894736842,0.9473684210526315,19
2,asocial,1,0.0,0.0,1.0,19
2,asocial,2,0.0,0.0,1.0,19
2,asocial,3,0.0,0.0,1.0,19
2,asocial,4,0.0,0.10526315789473684,0.8947368421052632,19
2,asocial,5,0.0,0.05263157894736842,0.9473684210526315,19
3,first,0,0.010050251256281407,0.9195979899497487,0.07035175879396985,199
3,first,1,0.07537688442211055,0.6582914572864321,0.2663316582914573,199
3,first,2,0.09547738693467336,0.5829145728643216,0.32160804020100503,199
3,first,3,0.12060301507537688,0.49246231155778897,0.3869346733668342,199
3,first,4,0.10050251256281408,0.4723618090452261,0.4271356783919598,199
3,first,5,0.09547738693467336,0.46733668341708545,0.4371859296482412,199
3,2d,0,0.0,0.25,0.75,28
3,2d,1,0.14285714285714285,0.32142857142857145,0.5357142857142857,28
3,2d,2,0.2857142857142857,0.25,0.4642857142857143,28
3,2d,3,0.35714285714285715,0.14285714285714285,0.5,28
3,2d,4,0.35714285714285715,0.17857142857142858,0.4642857142857143,28
3,2d,5,0.35714285714285715,0.14285714285714285,0.5,28
3,other_1d,0,0.0,0.04,0.96,25
3,other_1d,1,0.08,0.04,0.88,25
3,other_1d,2,0.16,0.12,0.72,25
3,other_1d,3,0.2,0.16,0.64,25
3,other_1d,4,0.2,0.04,0.76,25
3,other_1d,5,0.2,0.08,0.72,25
3,asocial,0,0.0,0.13333333333333333,0.8666666666666667,30
3,asocial,1,0.03333333333333333,0.1,0.8666666666666667,30
3,asocial,2,0.03333333333333333,0.06666666666666667,0.9,30
3,asocial,3,0.03333333333333333,0.0,0.9666666666666667,30
3,asocial,4,0.03333333333333333,0.0,0.9666666666666667,30
3,asocial,5,0.03333333333333333,0.03333333333333333,0.9333333333333333,30
4,first,0,0.010416666666666666,0.9479166666666666,0.041666666666666664,192
4,first,1,0.041666666666666664,0.7135416666666666,0.24479166666666666,192
4,first,2,0.057291666666666664,0.6510416666666666,0.2916666666666667,192
4,first,3,0.078125,0.5625,0.359375,192
4,first,4,0.09375,0.5104166666666666,0.3958333333333333,192
4,first,5,0.08854166666666667,0.5,0.4114583333333333,192
4,2d,0,0.48,0.24,0.28,25
4,2d,1,0.6,0.08,0.32,25
4,2d,2,0.68,0.12,0.2,25
4,2d,3,0.76,0.04,0.2,25
4,2d,4,0.8,0.0,0.2,25
4,2d,5,0.8,0.0,0.2,25
4,other_1d,0,0.15625,0.125,0.71875,32
4,other_1d,1,0.1875,0.1875,0.625,32
4,other_1d,2,0.3125,0.03125,0.65625,32
4,other_1d,3,0.3125,0.0625,0.625,32
4,other_1d,4,0.3125,0.03125,0.65625,32
4,other_1d,5,0.3125,0.0,0.6875,32
4,asocial,0,0.0,0.05263157894736842,0.9473684210526315,19
4,asocial,1,0.0,0.10526315789473684,0.8947368421052632,19
4,asocial,2,0.0,0.05263157894736842,0.9473684210526315,19
4,asocial,3,0.0,0.05263157894736842,0.9473684210526315,19
4,asocial,4,0.0,0.0,1.0,19
4,asocial,5,0.0,0.0,1.0,19
5,first,0,0.0,0.921875,0.078125,192
5,first,1,0.036458333333333336,0.6770833333333334,0.2864583333333333,192
5,first,2,0.041666666666666664,0.5989583333333334,0.359375,192
5,first,3,0.057291666666666664,0.5208333333333334,0.421875,192
5,first,4,0.078125,0.4375,0.484375,192
5,first,5,0.06770833333333333,0.4270833333333333,0.5052083333333334,192
5,2d,0,0.4090909090909091,0.13636363636363635,0.45454545454545453,44
5,2d,1,0.5227272727272727,0.09090909090909091,0.38636363636363635,44
5,2d,2,0.6136363636363636,0.0,0.38636363636363635,44
5,2d,3,0.5454545454545454,0.06818181818181818,0.38636363636363635,44
5,2d,4,0.6136363636363636,0.0,0.38636363636363635,44
5,2d,5,0.5681818181818182,0.022727272727272728,0.4090909090909091,44
5,other_1d,0,0.14285714285714285,0.19047619047619047,0.6666666666666666,21
5,other_1d,1,0.2857142857142857,0.0,0.7142857142857143,21
5,other_1d,2,0.2857142857142857,0.0,0.7142857142857143,21
5,other_1d,3,0.2857142857142857,0.0,0.7142857142857143,21
5,other_1d,4,0.2857142857142857,0.0,0.7142857142857143,21
5,other_1d,5,0.2857142857142857,0.0,0.7142857142857143,21
5,asocial,0,0.0,0.0,0.0,0
5,asocial,1,0.0,0.0,0.0,0
5,asocial,2,0.0,0.0,0.0,0
5,asocial,3,0.0,0.0,0.0,0
